,date&time,description,link,title
0,"Sat, 16 Sep 2017 08:59:08 GMT",Here's a $400 bn reason why China & Kim Jong won't bug India muchIndia now ranks eighth in foreign exchange reserves in a list that’s headed by China ($3.09 trillion) and Japan ($1.2 trillion).,http://economictimes.indiatimes.com/markets/forex/indias-forex-reserves-top-400-billion-for-first-time-ever/articleshow/60531270.cms,Here's a $400 bn reason why China & Kim Jong won't bug India much
1,"Sat, 16 Sep 2017 07:16:37 GMT","The important clue from Rahul Gandhi's US speech that Team Modi may have missedIt is now up to Rahul Gandhi to prove or disapprove Union Minister Smriti Irani's quip on his speech about being a ""failed dynast"".",http://economictimes.indiatimes.com/news/politics-and-nation/for-rahul-gandhi-proof-of-pudding-is-winning-elections/articleshow/60708339.cms,The important clue from Rahul Gandhi's US speech that Team Modi may have missed
2,"Sat, 16 Sep 2017 07:17:57 GMT","Do you know what's the best feature of iPhone X? It's that Rs 1.02 lakh price tagIndians would be buying the phone more for this feature than the others publicised widely, such as wireless charging.",http://economictimes.indiatimes.com/tech/hardware/do-you-know-the-best-feature-of-iphone-x-the-rs-1-02-lakh-price-tag/articleshow/60708226.cms,Do you know what's the best feature of iPhone X? It's that Rs 1.02 lakh price tag
3,"Sat, 16 Sep 2017 10:07:09 GMT","OIC has no locus standi to comment on Kashmir: IndiaIn its right of reply in response to the statement made by Pakistan on behalf of OIC, India said Jammu and Kashmir is its integral and inseparable part.",http://economictimes.indiatimes.com/news/politics-and-nation/oic-has-no-locus-standi-to-comment-on-kashmir-india/articleshow/60710151.cms,OIC has no locus standi to comment on Kashmir: India
4,"Sat, 16 Sep 2017 10:03:25 GMT","How India's strategy on the Rohingya issue evolvedWithin hours of Modi's return, it was clear his failure to address the issue of refugees in Myanmar would create problems both within India and in Bangladesh.",http://economictimes.indiatimes.com/news/politics-and-nation/how-indias-four-pronged-strategy-on-the-rohingya-problem-evolved/articleshow/60710121.cms,How India's strategy on the Rohingya issue evolved
5,"Fri, 15 Sep 2017 07:14:56 GMT",Indo-Pak talks on Indus water dispute fails: WBTwo days of talks here between India and Pakistan has failed to break the deadlock on the design of two hydro-electric power plants in Jammu and Kashmir.,http://economictimes.indiatimes.com/news/politics-and-nation/india-pakistan-hold-talks-on-indus-waters-treaty/articleshow/60526137.cms,Indo-Pak talks on Indus water dispute fails: WB
6,"Sat, 16 Sep 2017 07:24:41 GMT",Gorkhaland demand: Road to nowhere? The inordinate extension of the bandh is causing all the leaders of the Gorkha Movement Coordination Committee to miss heart beats with alarming frequency.,http://economictimes.indiatimes.com/news/politics-and-nation/gorkhaland-demand-road-to-nowhere/articleshow/60708668.cms,Gorkhaland demand: Road to nowhere? 
7,"Sat, 16 Sep 2017 08:04:33 GMT","72% of parents don’t trust schools, finds studyAccording to a survey by the School Learners Network (SLN), a professional group of school leaders, 72% parents do not trust schools with safety of their children.",http://economictimes.indiatimes.com/industry/services/education/72-of-parents-dont-trust-schools-finds-study-after-gurugram-murder/articleshow/60709044.cms,"72% of parents don’t trust schools, finds study"
8,"Sat, 16 Sep 2017 09:16:27 GMT","India support on ending worst forms of violenceSyed Akbaruddin, India's Permanent Representative to the UN, said that the discussions on the concept required open, inclusive and transparent deliberation.",http://economictimes.indiatimes.com/news/politics-and-nation/india-favours-discussion-in-unga-on-ending-worst-forms-of-violence/articleshow/60709729.cms,India support on ending worst forms of violence
9,"Sat, 16 Sep 2017 07:25:34 GMT","Committee on Maratha reservation a 'timepass': SenaOn August 9, lakhs of members of the Maratha community, staged their 58th and final 'muk morcha' in Mumbai demanding reservation in jobs and educational institutions.",http://economictimes.indiatimes.com/news/politics-and-nation/cabinet-sub-committee-on-maratha-reservation-a-timepass-sena/articleshow/60708690.cms,Committee on Maratha reservation a 'timepass': Sena
10,"Sat, 16 Sep 2017 05:36:37 GMT","Actual wars are the reason for the bull market to flourish, but fear keeps the bulls away.",http://economictimes.indiatimes.com/markets/stocks/news/exhaustion-visible-in-key-sectors-time-to-join-the-insurance-party/articleshow/60707736.cms,Exhaustion visible in key sectors; time to join the insurance party
11,"Sat, 16 Sep 2017 04:59:43 GMT","The 10,150 and 10,265 levels should act as immediate resistance for Nifty50.",http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-week-ahead-watch-out-midcaps-energy-bank-stocks/articleshow/60707488.cms,"Dalal Street week ahead: Watch out midcaps, energy, bank stocks"
12,"Sat, 16 Sep 2017 04:33:04 GMT","Bitcoin has dropped as much as 40% since reaching a record high of $4,921 on Sept. 1.",http://economictimes.indiatimes.com/markets/stocks/news/summer-of-bitcoin-ending-badly-as-china-clamps-down-on-trading/articleshow/60707271.cms,Summer of bitcoin ending badly as China clamps down on trading
13,"Sat, 16 Sep 2017 08:17:51 GMT","""We have been avoiding weak sectors like telecom, IT and pharma""",http://economictimes.indiatimes.com/markets/expert-view/it-is-a-quality-driven-market-cyclicals-lagging-behind-devang-mehta-bnp-paribas/articleshow/60709272.cms,"It is a quality driven market, cyclicals lagging behind"
14,"Sat, 16 Sep 2017 08:02:35 GMT","""I am bearish on BHEL. Yesterday, the stock came down after hitting those highs of Rs 145 which is never a positive sign.""",http://economictimes.indiatimes.com/markets/expert-view/next-week-nifty-to-head-for-10300-level-kunal-saraogi-equity-rush/articleshow/60709019.cms,"Nifty to head for 10,300 level: Equity Rush"
15,"Sat, 16 Sep 2017 09:17:01 GMT",Government on Saturday ruled out any further extension in filing of returns under GST after December and advised the taxpayers to file them in advance and not wait for the last day.,http://economictimes.indiatimes.com/news/economy/policy/no-further-extension-in-filing-returns-under-gst-hasmukh-adhia/articleshow/60709723.cms,No further extension in filing returns under GST: Hasmukh Adhia
16,"Sat, 16 Sep 2017 00:52:52 GMT",Lenders will need to file bankruptcy cases in respect of these accounts if they are unable to find any other way to revive the creditors by end-December.,http://economictimes.indiatimes.com/news/economy/policy/worried-finance-ministry-seeks-details-of-40-accounts-tagged-for-insolvency/articleshow/60704871.cms,Worried finance ministry seeks details of 40 accounts tagged for insolvency
17,"Fri, 15 Sep 2017 18:30:25 GMT",The Centre plans to counter the petition by saying Union ministries and state govts have spent funds on drought mitigation utilising central schemes made to states.,http://economictimes.indiatimes.com/news/economy/agriculture/agriculture-ministry-collects-details-of-flexi-funds-used-for-drought-relief/articleshow/60704607.cms,Agriculture ministry collects details of flexi funds used for drought relief
18,"Fri, 15 Sep 2017 18:21:24 GMT","To ensure only eligible credit is carried forward in the GST regime, the CBEC has asked field offices to match the credit claimed with closing balance in returns filed under the earlier law.",http://economictimes.indiatimes.com/news/economy/policy/gst-transitional-claims-of-over-rs-1-crore-to-be-scrutinised/articleshow/60704503.cms,GST transitional claims of over Rs 1 crore to be scrutinised
19,"Fri, 15 Sep 2017 18:20:18 GMT","These would be discussed at the upcoming meeting of the Transport Development Council, the highest body to advise the government of India on all matters relating to roads and transport.",http://economictimes.indiatimes.com/news/economy/policy/transport-council-to-discuss-reforms-on-september-19/articleshow/60704484.cms,Transport council to discuss reforms on September 19
20,"Sat, 16 Sep 2017 04:55:33 GMT","Japan has a historic connection to India's northeast, and is among the few countries that India has allowed a presence in the eight landlocked states.",http://economictimes.indiatimes.com/news/economy/infrastructure/japan-teams-up-with-india-for-northeast-to-extend-rs-2239-crore-loans/articleshow/60703906.cms,"Japan teams up with India for Northeast, to extend Rs 2,239-crore loans"
21,"Sat, 16 Sep 2017 07:17:57 GMT","Indians would be buying the phone more for this feature than the others publicised widely, such as wireless charging.",http://economictimes.indiatimes.com/tech/hardware/do-you-know-the-best-feature-of-iphone-x-the-rs-1-02-lakh-price-tag/articleshow/60708226.cms,Do you know the best feature of iPhone X? The Rs 1.02 lakh price tag
22,"Sat, 16 Sep 2017 01:05:48 GMT","Attacks are being carried out by using large set words like date of birth, email address and other details of the person online to figure out the email password.",http://economictimes.indiatimes.com/tech/internet/facebook-instagram-accounts-latest-hijack-victims-release-on-ransom/articleshow/60705030.cms,"Facebook, Instagram accounts latest hijack victims.Release on ransom!"
23,"Fri, 15 Sep 2017 15:24:51 GMT","The technical glitch left several users scrambling to access Google's services. However, it was not immediately clear if more users across the world experienced the same disruption.",http://economictimes.indiatimes.com/tech/internet/google-youtube-gmail-goes-offline-from-brief-minutes-in-india/articleshow/60701746.cms,"Google, YouTube, Gmail goes offline for brief minutes in India"
24,"Fri, 15 Sep 2017 13:13:42 GMT","""Our present market share as per GfK data is 20 per cent. We want to take it to 22 per cent in the current fiscal taking it to the number three spot"", Rajesh Thadani, head and ED of consumer and ecommerce said.",http://economictimes.indiatimes.com/tech/hardware/lenovo-aiming-for-22-per-cent-market-share-in-pc-sales/articleshow/60531641.cms,Lenovo aiming for 22 per cent market share in PC sales
25,"Fri, 15 Sep 2017 08:42:05 GMT","GE will now use Dell EMC servers, storage, backup and related professional services, aiming to enhance the reliability and efficiency of its IT infrastructure.",http://economictimes.indiatimes.com/tech/ites/dell-technologies-signs-multi-year-deal-with-ge/articleshow/60527449.cms,Dell Technologies signs multi-year deal with GE
26,"Fri, 15 Sep 2017 06:41:13 GMT","The financial details of the contract, which will see Wipro managing the data centre and cloud services for innogy SE, were not disclosed.",http://economictimes.indiatimes.com/tech/ites/wipro-gets-7-year-data-centre-services-deal-from-innogy/articleshow/60525606.cms,Wipro gets 7-year data centre services deal from innogy
27,"Sat, 16 Sep 2017 09:42:12 GMT","Following a proposal by the Aerospace Force of the Islamic Revolution Guards Corps (IRGC), Iran's Defence Industries manufactured the 10-tonne bombs.",http://economictimes.indiatimes.com/news/international/world-news/iran-possesses-non-nuclear-father-of-all-bombs/articleshow/60709943.cms,"Iran possesses non-nuclear ""father of all bombs"""
28,"Sat, 16 Sep 2017 09:37:06 GMT",Haley's remarks came as US President Donald Trump was set to deliver his first speech to the United Nations General Assembly next week.,http://economictimes.indiatimes.com/news/international/world-news/unsc-reform-a-priority-for-trump-administration-haley/articleshow/60709895.cms,UNSC reform a priority for Trump administration: Haley
29,"Sat, 16 Sep 2017 09:28:29 GMT",Tensions between the Rohingya Muslims and the Buddhist majority date back to the beginning of British rule in 1824.,http://economictimes.indiatimes.com/news/international/world-news/a-history-of-persecution-myanmars-rohingya-muslims/articleshow/60709839.cms,A history of persecution: Myanmar's Rohingya Muslims
30,"Sat, 16 Sep 2017 08:51:26 GMT","The Gupta scandals have piled pressure on Zuma and opened rifts in the African National Congress, the party that has ruled since the end of apartheid in 1994.",http://economictimes.indiatimes.com/news/international/business/kpmgs-south-africa-bosses-purged-over-gupta-scandal/articleshow/60709521.cms,KPMG's South Africa bosses purged over Gupta scandal
31,"Sat, 16 Sep 2017 05:52:02 GMT","The appeal was directed at the United States and Japan, countries calling to ramp up pressure through sanctions rather than pin hopes on talks.",http://economictimes.indiatimes.com/news/international/world-news/north-korea-seeks-equilibrium-with-us-says-nuclear-capability-nearly-complete/articleshow/60707860.cms,"North Korea seeks 'equilibrium' with US, says nuclear capability nearly complete"
32,"Sat, 16 Sep 2017 05:40:23 GMT",The police have found CCTV images that captured the perpetrator as he boarded the train with the bomb packed in a white plastic bucket inside a Lidl supermarket bag.,http://economictimes.indiatimes.com/news/international/world-news/uk-terror-threat-increased-to-critical-after-tube-bomb/articleshow/60707682.cms,UK terror threat increased to critical after Tube bomb
33,"Sat, 16 Sep 2017 10:07:09 GMT","In its right of reply in response to the statement made by Pakistan on behalf of OIC, India said Jammu and Kashmir is its integral and inseparable part.",http://economictimes.indiatimes.com/news/politics-and-nation/oic-has-no-locus-standi-to-comment-on-kashmir-india/articleshow/60710151.cms,OIC has no locus standi to comment on Kashmir: India
34,"Sat, 16 Sep 2017 10:03:25 GMT","Within hours of Modi's return, it was clear his failure to address the issue of refugees in Myanmar would create problems both within India and in Bangladesh.",http://economictimes.indiatimes.com/news/politics-and-nation/how-indias-four-pronged-strategy-on-the-rohingya-problem-evolved/articleshow/60710121.cms,How India's four-pronged strategy on the Rohingya problem evolved
35,"Sat, 16 Sep 2017 09:16:27 GMT","Syed Akbaruddin, India's Permanent Representative to the UN, said that the discussions on the concept required open, inclusive and transparent deliberation.",http://economictimes.indiatimes.com/news/politics-and-nation/india-favours-discussion-in-unga-on-ending-worst-forms-of-violence/articleshow/60709729.cms,India favours discussion in UNGA on ending worst forms of violence
36,"Sat, 16 Sep 2017 07:25:34 GMT","On August 9, lakhs of members of the Maratha community, staged their 58th and final 'muk morcha' in Mumbai demanding reservation in jobs and educational institutions.",http://economictimes.indiatimes.com/news/politics-and-nation/cabinet-sub-committee-on-maratha-reservation-a-timepass-sena/articleshow/60708690.cms,Cabinet sub-committee on Maratha reservation a 'timepass': Sena
37,"Sat, 16 Sep 2017 07:24:41 GMT",The inordinate extension of the bandh is causing all the leaders of the Gorkha Movement Coordination Committee to miss heart beats with alarming frequency.,http://economictimes.indiatimes.com/news/politics-and-nation/gorkhaland-demand-road-to-nowhere/articleshow/60708668.cms,Gorkhaland demand: Road to nowhere? 
38,"Sat, 16 Sep 2017 07:16:37 GMT","It is now up to Rahul Gandhi to prove or disapprove Union Minister Smriti Irani's quip on his speech about being a ""failed dynast"".",http://economictimes.indiatimes.com/news/politics-and-nation/for-rahul-gandhi-proof-of-pudding-is-winning-elections/articleshow/60708339.cms,"For Rahul Gandhi, proof of pudding is winning elections "
39,"Thu, 12 Aug 2010 20:55:54 GMT","A trading combination involving Nifty options is gaining prominence among savvy trading desks of institutional investors.

",http://economictimes.indiatimes.com/traders-bet-on-calendar-spread-as-nifty-moves-in-a-tight-range/articleshow/6302358.cms,Traders bet on calendar spread as Nifty moves in a tight range
40,"Wed, 11 Aug 2010 20:52:06 GMT","As far as stock futures are concerned, we are very near to the highest-ever open interest with 195 crore shares in open interest. ",http://economictimes.indiatimes.com/nifty-may-find-support-at-5300-level/articleshow/6296017.cms,Nifty may find support at 5300 level
