,category,date&time,description,link,title
0,sports,"Wed, 22 Nov 2017 17:39:22 GMT",none,https://economictimes.indiatimes.com/industry/sports/ashes-smith-and-root-continue-war-of-words-on-series-eve/articleshow/61758962.cms,"Ashes: Smith and Root, continue war of words on series eve"
1,sports,"Wed, 22 Nov 2017 17:26:24 GMT",none,https://economictimes.indiatimes.com/industry/sports/do-lefties-have-an-advantage-in-sports/articleshow/61758727.cms,Do lefties have an advantage in sports?
2,sports,"Mon, 20 Nov 2017 07:18:10 GMT",none,https://economictimes.indiatimes.com/industry/sports/cheteshwar-pujara-becomes-third-indian-to-bat-on-all-five-days-in-test/articleshow/61721957.cms,Cheteshwar Pujara becomes third Indian to bat on all five days in Test
3,sports,"Sat, 18 Nov 2017 12:02:07 GMT",none,https://economictimes.indiatimes.com/industry/sports/bcci-exploring-ways-to-avoid-pakistan-in-icc-test-league/articleshow/61702415.cms,BCCI exploring ways to avoid Pakistan in ICC test league
4,sports,"Fri, 17 Nov 2017 10:50:05 GMT",none,https://economictimes.indiatimes.com/industry/sports/p-v-sindhu-suffers-shock-defeat-in-china-open/articleshow/61689390.cms,P V Sindhu suffers shock defeat in China Open
5,sports,"Thu, 16 Nov 2017 17:01:35 GMT",none,https://economictimes.indiatimes.com/industry/sports/virat-kohlis-support-for-m-s-dhoni-remarkable-sourav-ganguly/articleshow/61677722.cms,Virat Kohli's support for M S Dhoni remarkable: Sourav Ganguly
6,sports,"Mon, 13 Nov 2017 17:52:13 GMT",none,https://economictimes.indiatimes.com/industry/sports/why-sebastian-vettels-brazilian-grand-prix-victory-is-a-little-too-late/articleshow/61633811.cms,Why Sebastian Vettel’s Brazilian Grand Prix victory is a little too late
7,sports,"Mon, 13 Nov 2017 17:35:07 GMT",none,https://economictimes.indiatimes.com/industry/sports/what-separates-dhonis-final-team-india-days-from-those-of-ganguly/articleshow/61633463.cms,What separates Dhoni's final Team India days from those of Ganguly
8,sports,"Thu, 09 Nov 2017 17:05:12 GMT",none,https://economictimes.indiatimes.com/industry/sports/sehwag-made-a-member-of-nadas-anti-doping-appeal-panel/articleshow/61583634.cms,Sehwag made a member of NADA's Anti-Doping Appeal Panel
9,sports,"Fri, 27 Oct 2017 08:10:12 GMT",none,https://economictimes.indiatimes.com/industry/sports/bcci-reforms-overzealous-may-destroy-cricket-sharad-pawar/articleshow/61266703.cms,"BCCI reforms overzealous, may destroy cricket: Sharad Pawar"
10,sports,"Wed, 25 Oct 2017 07:49:15 GMT",none,https://economictimes.indiatimes.com/industry/sports/bcci-suspends-pune-curator-after-tampering-claims-in-sting/articleshow/61217992.cms,BCCI suspends Pune Curator after tampering claims in sting
11,sports,"Tue, 24 Oct 2017 15:43:29 GMT",none,https://economictimes.indiatimes.com/industry/sports/shooters-jitu-rai-heena-sidhu-win-gold-at-world-cup/articleshow/61208007.cms,"Shooters Jitu Rai, Heena Sidhu win gold at World Cup"
12,sports,"Mon, 23 Oct 2017 14:38:43 GMT",none,https://economictimes.indiatimes.com/industry/sports/indian-women-boxers-win-five-more-medals-at-balkan-meet/articleshow/61188775.cms,Indian women boxers win five more medals at 'Balkan' meet
13,sports,"Mon, 23 Oct 2017 05:46:56 GMT",none,https://economictimes.indiatimes.com/industry/sports/we-defended-well-during-the-final-phase-india-coach-sjoerd-marijne/articleshow/61180763.cms,We defended well during the final phase: India coach Sjoerd Marijne
14,sports,"Sun, 22 Oct 2017 12:17:42 GMT",none,https://economictimes.indiatimes.com/industry/sports/virat-kohli-surpasses-ricky-ponting-with-31st-ton-only-behind-sachin-tendulkar/articleshow/61172744.cms,"Virat Kohli surpasses Ricky Ponting with 31st ton, only behind Sachin Tendulkar"
0,market,"Thu, 30 Nov 2017 13:09:04 GMT",none,https://economictimes.indiatimes.com/markets/after-hours-bears-back-in-drivers-seat-lupin-infy-slip-realty-climbs/articleshow/61866521.cms,"After Hours: Bears back in driver’s seat; Lupin, Infy slip; realty climbs"
1,market,"Thu, 30 Nov 2017 12:56:45 GMT",none,https://economictimes.indiatimes.com/markets/fitch-may-up-upgrade-banking-sector-if-govts-recap-plan-is-well-executed/articleshow/61866286.cms,Fitch may up upgrade banking sector if govt's recap plan is well executed
2,market,"Thu, 30 Nov 2017 12:33:27 GMT",none,https://economictimes.indiatimes.com/markets/tech-view-nifty-forms-bearish-belt-hold-pattern-weakness-may-continue/articleshow/61865968.cms,Tech view: Nifty forms Bearish Belt Hold pattern; weakness may continue
3,market,"Thu, 30 Nov 2017 12:28:00 GMT",none,https://economictimes.indiatimes.com/markets/fo-below-10300-nifty50-can-head-to-10178-in-the-short-term/articleshow/61865857.cms,"F&O: Below 10,300, Nifty50 can head to 10,178 in the short term"
4,market,"Thu, 30 Nov 2017 11:38:06 GMT",none,https://economictimes.indiatimes.com/markets/current-trend-in-bitcoin-will-end-badly-maybe-over-years-says-samir-arora/articleshow/61865018.cms,"Current trend in bitcoin will end badly, maybe over years, says Samir Arora"
5,market,"Thu, 30 Nov 2017 10:57:55 GMT",none,https://economictimes.indiatimes.com/markets/building-material-pack-to-ride-on-pick-up-in-housing-spend-vinay-khattar/articleshow/61864289.cms,Building material pack to ride on pick up in housing spend : Vinay Khattar
6,market,"Thu, 30 Nov 2017 10:53:39 GMT",none,https://economictimes.indiatimes.com/markets/hdfc-amc-board-approves-ipo/articleshow/61864210.cms,HDFC AMC board approves IPO
7,market,"Thu, 30 Nov 2017 10:51:42 GMT",none,https://economictimes.indiatimes.com/markets/sensex-tanks-453-pts-nifty-slips-below-10250-6-key-factors-that-dragged-market/articleshow/61864187.cms,"Sensex tanks 453 pts, Nifty slips below 10,250: 6 key factors that dragged market"
8,market,"Thu, 30 Nov 2017 10:51:00 GMT",none,https://economictimes.indiatimes.com/markets/shriram-has-tapped-only-a-slice-of-a-huge-opportunity-in-cv-segment-md/articleshow/61864178.cms,Shriram has tapped only a slice of a huge opportunity in CV segment: MD
9,market,"Thu, 30 Nov 2017 10:39:51 GMT",none,https://economictimes.indiatimes.com/markets/gold-slumps-rs-120-on-lacklustre-demand-global-cues/articleshow/61864011.cms,"Gold slumps Rs 120 on lacklustre demand, global cues"
10,market,"Thu, 30 Nov 2017 10:32:50 GMT",none,https://economictimes.indiatimes.com/markets/dollar-set-for-biggest-monthly-drop-since-july/articleshow/61863887.cms,Dollar set for biggest monthly drop since July
11,market,"Thu, 30 Nov 2017 10:29:00 GMT",none,https://economictimes.indiatimes.com/markets/euro-falls-to-3-week-low-vs-sterling-on-brexit-deal-optimism/articleshow/61863832.cms,Euro falls to 3-week low vs sterling on Brexit deal optimism
12,market,"Thu, 30 Nov 2017 10:24:48 GMT",none,https://economictimes.indiatimes.com/markets/future-supply-chain-fixes-rs-660-664-price-band-for-ipo/articleshow/61863759.cms,Future Supply Chain fixes Rs 660-664 price-band for IPO
13,market,"Thu, 30 Nov 2017 10:11:28 GMT",none,https://economictimes.indiatimes.com/markets/tech-tumble-opec-anticipation-cap-gains-for-european-shares/articleshow/61863589.cms,"Tech tumble, Opec anticipation cap gains for European shares"
14,market,"Thu, 30 Nov 2017 09:53:23 GMT",none,https://economictimes.indiatimes.com/markets/market-now-10-stocks-defy-market-trend-surge-up-to-20/articleshow/61863308.cms,Market now: 10 stocks defy market trend; surge up to 20%
0,science,"Thu, 30 Nov 2017 13:10:21 GMT",none,https://economictimes.indiatimes.com/news/science/underground-metro-exposes-commuters-to-cancer-causing-agents/articleshow/61866538.cms,'Underground metro exposes commuters to cancer-causing agents'
1,science,"Thu, 30 Nov 2017 11:02:45 GMT","Beijing, Nov 30 (IANS) A Chinese satellite which was sent to the skies to look for evidence of the annihilation or decay of dark matter particles in space has detected unexpected and mysterious signals in its measurement of high-energy cosmic rays, bringing scientists closer to proving the existence of the invisible matter.",none,China's dark matter probe detects mysterious signals
2,science,"Thu, 30 Nov 2017 08:38:18 GMT",none,https://economictimes.indiatimes.com/news/science/artificial-intelligence-may-help-you-win-your-next-court-case/articleshow/61862209.cms,Artificial Intelligence may help you win your next court case!
3,science,"Thu, 30 Nov 2017 06:17:45 GMT","Washington, Nov 30 (IANS) A NASA-led team of scientists has determined that WASP-18b, a ""hot Jupiter"" located 325 light-years from Earth, has a smothering stratosphere that is loaded with carbon monoxide, or CO, but has no signs of water.",none,'Hot Jupiter' with deadly stratosphere stuns scientists
